row_formating,include,neurovault_or_carp,mandatory,activity,activity_pref_label,activity_description,activity_preamble,,,,item,item_pref_label,item_description,item_order,duplicate,question,details,field_type,choices,visibility,bids_status,bids_file,bids_key,bids_key_for_unit,neurovault,in_Carp_2012,use_case_meta-analysis,meta-analysis_comment
FALSE,1,1,1,behavior,Behavior,Behavior,,Design specifications,Design type,,design_type,design type,design type,,0,What type of design was used?,,radio,block design | event related design | mixed,1,2,,,,type_of_design,destype,,
TRUE,1,0,1,behavior,Behavior,Behavior,,Design specifications,Condition and stimuli,,condition_and_stimuli,condition and stimuli,condition and stimuli,,0,Clearly describe each condition and the stimuli used.,"Be sure to completely describe baseline (e.g. blank white/black screen, presence of fixation cross, or any other text), especially for resting ­state studies. When possible provide images or screen snapshots of the stimuli",char,,1,,,,,,,yes,RELEVANT TO DESCRIBE THE INCLUDED STUDIES
TRUE,1,1,1,behavior,Behavior,Behavior,,Design specifications,Number experimental units,,number_experimental_units,number experimental units,number experimental units,,0,Number of trials/blocks per run per condition,"Specify per run, and if differing by subject, specify summary statistics (mean, range and/or standard deviation) of such counts",int,,1,1,,,,number_of_experimental_units,ntrials,,
TRUE,1,1,1,behavior,Behavior,Behavior,,Timing and duration,Block duration,,block_duration,block duration,block duration,,0,What was the duration of one block? (in seconds),,float,,1,1,,,,length_of_blocks,blocklength,,
TRUE,1,1,1,behavior,Behavior,Behavior,,Timing and duration,Trial duration,,trial_duration,trial duration,trial duration,,0,What was the duration of one trial? (in seconds),,float,,1,1,,,,length_of_trials,trialdur,,
TRUE,1,1,1,behavior,Behavior,Behavior,,Timing and duration,Intertrial interval type,,intertrial_interval_type,intertrial interval type,intertrial interval type,,0,"Provide the timing structure of the events in the task, whether a random / jittered pattern or a regular arrangement; any jittering of block onsets",,char,,1,3,,,,,ititype,,
TRUE,1,1,0,behavior,Behavior,Behavior,,Timing and duration,Intertrial interval range,,intertrial_interval_range,intertrial interval range,intertrial interval range,,0,What was the intertrial interval range?,,char,,1,,,,,,itirange,,
TRUE,0,1,0,behavior,Behavior,Behavior,,Timing and duration,Intertrial interval distribution,,intertrial_interval_distribution,intertrial interval distribution,intertrial interval distribution,,0,What was the intertrial interval distribution?,,,,1,,,,,,itidist,,
TRUE,1,1,1,behavior,Behavior,Behavior,,Timing and duration,number of functional runs,,number_of_functional_runs,number of functional runs,number of functional runs,,0,How many runs were used?,,int,,1,1,,,,number_of_imaging_runs,nruns,,
TRUE,1,1,1,behavior,Behavior,Behavior,,Timing and duration,duration of each run,,duration_of_each_run,duration of each run,duration of each run,,0,What was the duration of each imaging run in seconds?,,float,,1,1,,,,length_of_runs,,,
TRUE,1,1,1,behavior,Behavior,Behavior,,Presentation software,presentation software name,,presentation_software_name,presentation software name,presentation software name,,0,What was the software used for stimuli presentation?,,radio,Psychtoolbox | psychopy | e prime | presentation | cogent,1,3,,,,,taskprog,yes,FOR DESCRIPTION
TRUE,1,0,1,behavior,Behavior,Behavior,,Presentation software,presentation software version,,presentation_software_version,presentation software version,presentation software version,,0,What was the software version used for stimuli presentation?,,char,,1,3,,,,,,,
TRUE,0,0,1,behavior,Behavior,Behavior,,Presentation software,operating system,,operating_system,operating system,operating system,,0,What operating system was used to present the stimuli?,,char,,1,3,,,,,,,
TRUE,1,0,1,behavior,Behavior,Behavior,,Presentation software,URL to code,,url_to_code,url to code,url to code,,0,Specify the URL of the experiment code if possible,,char,,1,3,,,,,,,
TRUE,1,0,1,behavior,Behavior,Behavior,,Task specification,Condition,,condition,condition,condition,,0,Enumerate the conditions and fully describe and reference each.,"Consider using a shorthand name, e.g. AUDSTIM, VISSTIM, to refer to each condition, to clarify the distinction between a specific modelled effect and a psychological construct. Naming should reflect the distinction between instruction periods and actual stimuli, and between single parameters and contrasts of parameters",char,,1,1,,,,,,,
